StudentID,TestID,Physics,Chemistry,Maths,Total,Rank
JEE046,T006,26,55,86,167,43
JEE013,T009,83,53,77,213,70
JEE061,T009,85,27,68,180,41
JEE064,T008,25,60,52,137,56
JEE047,T010,32,88,92,212,46
JEE085,T004,98,81,92,271,61
JEE003,T009,99,22,31,152,10
JEE044,T009,64,22,98,184,60
JEE020,T009,83,48,39,170,73
JEE025,T003,86,24,94,204,61
JEE027,T002,57,24,77,158,95
JEE008,T002,86,24,46,156,53
JEE046,T007,54,34,33,121,72
JEE055,T004,36,63,56,155,68
JEE069,T006,57,29,28,114,93
JEE053,T007,63,70,79,212,43
JEE060,T010,58,78,49,185,56
JEE006,T008,72,78,47,197,30
JEE006,T003,22,31,43,96,4
JEE080,T006,72,64,47,183,91
JEE086,T002,36,53,87,176,21
JEE024,T005,45,69,57,171,65
JEE010,T009,72,34,90,196,8
JEE075,T007,34,99,54,187,99
JEE012,T001,82,61,29,172,64
JEE006,T003,30,24,55,109,20
JEE041,T010,88,68,49,205,70
JEE057,T003,59,40,26,125,51
JEE077,T010,62,34,25,121,66
JEE059,T010,71,97,27,195,40
JEE064,T006,70,49,62,181,95
JEE008,T007,55,85,40,180,24
JEE096,T008,100,37,64,201,62
JEE096,T010,38,60,42,140,95
JEE007,T007,52,69,35,156,47
JEE026,T003,38,71,91,200,26
JEE047,T005,26,98,21,145,80
JEE005,T003,59,73,87,219,14
JEE079,T006,61,94,49,204,97
JEE068,T004,93,22,84,199,49
JEE092,T005,82,89,76,247,92
JEE075,T006,63,76,41,180,7
JEE027,T009,85,94,33,212,15
JEE095,T002,31,72,33,136,60
JEE010,T007,47,91,31,169,35
JEE058,T005,87,95,47,229,66
JEE038,T003,100,69,35,204,63
JEE081,T003,54,63,22,139,36
JEE036,T003,30,36,95,161,24
JEE026,T004,40,29,75,144,80
JEE073,T005,34,44,49,127,87
JEE019,T009,85,87,79,251,21
JEE037,T003,45,23,25,93,91
JEE007,T010,50,93,82,225,29
JEE099,T007,37,36,67,140,49
JEE059,T006,47,83,53,183,31
JEE045,T004,61,66,88,215,78
JEE078,T005,58,63,43,164,73
JEE039,T006,43,58,71,172,97
JEE079,T001,65,49,33,147,92
JEE045,T005,63,30,28,121,5
JEE035,T002,97,35,80,212,26
JEE075,T002,72,47,40,159,59
JEE006,T007,46,20,63,129,70
JEE028,T006,33,96,47,176,50
JEE008,T009,57,90,67,214,53
JEE003,T001,68,58,26,152,25
JEE027,T009,99,52,86,237,13
JEE036,T001,51,59,86,196,75
JEE094,T002,99,34,64,197,42
JEE058,T003,96,80,60,236,41
JEE079,T010,82,66,39,187,61
JEE037,T007,69,60,93,222,27
JEE018,T009,100,40,81,221,18
JEE076,T005,69,99,85,253,87
JEE028,T009,69,29,73,171,37
JEE073,T008,89,84,44,217,25
JEE060,T008,98,89,75,262,28
JEE086,T004,62,85,98,245,86
JEE060,T010,47,72,63,182,85
JEE010,T004,34,79,32,145,38
JEE018,T008,25,31,74,130,68
JEE058,T001,64,35,96,195,29
JEE062,T003,75,36,76,187,89
JEE049,T008,88,64,26,178,44
JEE100,T006,98,20,89,207,73
JEE088,T010,75,43,56,174,92
JEE068,T006,78,46,60,184,54
JEE073,T002,83,56,57,196,12
JEE064,T004,68,91,78,237,86
JEE077,T001,96,47,98,241,31
JEE002,T001,73,48,94,215,88
JEE062,T007,64,54,78,196,50
JEE011,T004,68,52,55,175,11
JEE011,T007,38,78,85,201,36
JEE093,T004,22,53,83,158,92
JEE080,T002,35,21,94,150,40
JEE071,T007,79,84,24,187,59
JEE079,T007,37,93,74,204,38
JEE059,T004,99,59,24,182,14
JEE021,T004,97,79,38,214,75
JEE097,T002,53,56,60,169,65
JEE036,T006,60,97,62,219,51
JEE094,T005,71,64,63,198,24
JEE001,T009,77,33,21,131,30
JEE089,T006,43,93,75,211,48
JEE045,T010,85,21,26,132,86
JEE039,T002,70,91,88,249,6
JEE043,T010,90,59,24,173,6
JEE086,T007,68,73,26,167,94
JEE029,T004,57,42,56,155,78
JEE078,T006,21,60,69,150,71
JEE085,T008,91,96,64,251,59
JEE022,T003,47,31,44,122,21
JEE017,T005,58,59,52,169,80
JEE009,T003,76,79,65,220,91
JEE027,T006,90,25,90,205,82
JEE069,T009,45,78,77,200,43
JEE067,T006,25,39,78,142,37
JEE067,T007,29,78,90,197,29
JEE013,T005,99,99,49,247,13
JEE028,T008,50,63,43,156,12
JEE044,T010,56,36,27,119,19
JEE084,T009,33,50,66,149,16
JEE047,T007,83,78,81,242,37
JEE051,T009,80,31,24,135,9
JEE052,T003,77,52,45,174,19
JEE056,T005,28,95,23,146,93
JEE089,T007,83,31,80,194,73
JEE090,T008,51,51,100,202,87
JEE027,T003,22,69,97,188,80
JEE086,T003,95,89,46,230,18
JEE091,T005,63,74,20,157,53
JEE088,T008,81,32,87,200,62
JEE057,T002,77,92,83,252,3
JEE035,T007,62,85,43,190,42
JEE099,T005,91,83,96,270,4
JEE007,T001,28,100,34,162,54
JEE063,T002,42,29,39,110,52
JEE081,T005,84,70,70,224,91
JEE019,T007,26,54,64,144,59
JEE024,T007,20,36,67,123,42
JEE007,T008,78,84,52,214,67
JEE030,T004,90,21,32,143,31
JEE036,T003,30,60,31,121,97
JEE036,T007,46,77,96,219,100
JEE065,T001,34,45,51,130,5
JEE067,T008,88,69,41,198,75
JEE030,T002,57,44,32,133,75
JEE036,T003,43,38,95,176,10
JEE079,T010,61,87,65,213,43
JEE038,T007,77,26,81,184,8
JEE088,T006,84,36,43,163,100
JEE076,T001,52,75,20,147,4
JEE055,T009,87,24,44,155,81
JEE061,T003,59,44,26,129,97
JEE001,T002,84,22,59,165,96
JEE095,T002,89,42,45,176,57
JEE027,T003,91,38,20,149,88
JEE003,T004,32,38,85,155,35
JEE005,T006,84,75,40,199,34
JEE083,T005,41,80,68,189,39
JEE022,T010,86,37,77,200,85
JEE048,T002,78,77,75,230,22
JEE053,T001,51,71,70,192,48
JEE013,T007,94,67,81,242,35
JEE089,T008,43,29,96,168,68
JEE061,T008,78,90,49,217,49
JEE001,T003,67,35,44,146,78
JEE020,T001,76,22,41,139,27
JEE088,T008,40,46,84,170,52
JEE023,T004,39,92,95,226,96
JEE031,T010,71,49,97,217,19
JEE072,T005,70,69,62,201,49
JEE094,T007,75,37,27,139,69
JEE091,T007,56,28,61,145,43
JEE041,T005,63,63,20,146,47
JEE004,T004,59,78,48,185,98
JEE054,T003,31,36,42,109,60
JEE098,T005,20,97,64,181,41
JEE089,T008,90,96,25,211,94
JEE068,T003,85,39,67,191,66
JEE037,T003,94,99,24,217,40
JEE077,T005,47,52,73,172,85
JEE067,T008,98,86,44,228,100
